"","Estimate","Std. Error","Lower","Upper"
"model_cal_2.e:1:0.5",64.8499099058816,1.60774136147622,61.5750479190308,68.1247718927325
"model_cal_2.e:1:0.6",66.4050719354885,2.29131070004558,61.7378247703387,71.0723191006382
"model_cal_3.e:1:0.2",64.7084064993717,1.98258651942218,60.6700099116662,68.7468030870773
"model_cal_3.e:1:0.3",67.9293251447528,1.70507027201449,64.4562106547439,71.4024396347616
"model_cal_3.e:1:0.4",70.6339610595246,1.83428582440341,66.8976431023611,74.3702790166881
"model_cal_3.e:1:0.5",73.2259440062198,2.25296761770433,68.636799143982,77.8150888684576
"model_cal_3.e:1:0.6",76.1117350969421,2.93343971450325,70.1365139314403,82.0869562624438
"model_cal_4.e:1:0.2",66.2254120353105,22.5052300529836,20.3837585381479,112.067065532473
"model_cal_4.e:1:0.3",70.2402873681918,28.7063726526322,11.7673197422542,128.713254994129
"model_cal_4.e:1:0.4",73.7893696620871,34.4474084898612,3.62229471329817,143.956444610876
"model_cal_4.e:1:0.5",77.0983012584686,40.000053142246,-4.3791407271483,158.575743244086
"model_cal_4.e:1:0.6",80.2837630497948,45.5161906289015,-12.4296833095008,172.99720940909
"model_cal_5.e:1:0.2",61.7144535128421,1.61860687298428,58.437755205505,64.9911518201793
"model_cal_5.e:1:0.3",63.573851763133,1.18724269880671,61.1704045725216,65.9772989537444
"model_cal_5.e:1:0.4",65.2118178733445,1.14006293398514,62.9038811232926,67.5197546233964
"model_cal_5.e:1:0.5",67.0233663687389,1.52060655988133,63.9450593233089,70.101673414169
"model_cal_5.e:1:0.6",69.7563220086181,2.51020100395611,64.6746857459634,74.8379582712728
"model_cal_6.e:1:0.2",57.9673314393195,2.35168417524824,53.1931587504072,62.7415041282319
"model_cal_6.e:1:0.3",61.1002447561053,1.5369141505474,57.9801431540389,64.2203463581717
"model_cal_6.e:1:0.4",63.124484695276,1.20316162676032,60.6819367378232,65.5670326527287
"model_cal_6.e:1:0.5",64.9514598806005,1.21881676091664,62.4771303111793,67.4257894500218
"model_cal_6.e:1:0.6",66.9837228293439,1.60709435045545,63.721147847038,70.2462978116499
"model_cal_7.e:1:0.2",67.1598390131866,3.30500483070554,60.4277644732258,73.8919135531474
