species,pop,province,location,old_pop,lat,long,seed_mass,elevation,BIO_01,BIO_05,BIO_12,aridity_index,annual_burnedarea_ha,annual_number_fires,burned_area_percent,dormancy_release,Estimate,Std..Error,Lower,Upper
CAL,8,Valencia,Dos Aguas,17,39.300432,-0.788097,0.876,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,20,56.64504867,5.533176043,45.41210412,67.87799322
CAL,8,Valencia,Dos Aguas,17,39.300432,-0.788097,0.876,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,30,62.41467139,3.984019851,54.3266811,70.50266167
CAL,8,Valencia,Dos Aguas,17,39.300432,-0.788097,0.876,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,40,67.22440186,3.72785829,59.65644719,74.79235653
CAL,8,Valencia,Dos Aguas,17,39.300432,-0.788097,0.876,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291,50,72.54049344,5.086989284,62.21335616,82.86763072
CAL,9,Valencia,Cortes,13,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132,20,63.48175124,2.448256859,58.49481522,68.46868727
CAL,9,Valencia,Cortes,13,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132,30,66.47268013,3.517659878,59.30744143,73.63791883
CAL,9,Valencia,Cortes,13,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132,40,69.76542295,5.052198335,59.4744317,80.05641419
CAL,9,Valencia,Cortes,13,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132,50,73.98836611,7.280945615,59.15756522,88.81916701
CAL,9,Valencia,Cortes,13,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132,60,80.85856578,11.27660182,57.88887953,103.828252
CSA,1,Alicante,Montgo Les Planes,5,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481,20,65.49032364,0.794355479,63.88223505,67.09841224
CSA,1,Alicante,Montgo Les Planes,5,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481,30,66.79208902,0.654010136,65.46811472,68.11606332
CSA,1,Alicante,Montgo Les Planes,5,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481,40,67.97625394,0.61307096,66.73515666,69.21735121
CSA,1,Alicante,Montgo Les Planes,5,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481,50,69.22362289,0.682824457,67.84131704,70.60592873
CSA,1,Alicante,Montgo Les Planes,5,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481,60,70.69842088,0.880943751,68.91504349,72.48179827
CSA,10,Barcelona,Garraf I,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,20,66.06033554,1.500782119,63.02944456,69.09122652
CSA,10,Barcelona,Garraf I,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,30,68.38826874,1.311135472,65.74037694,71.03616055
CSA,10,Barcelona,Garraf I,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,40,70.62997731,1.599395258,67.39993306,73.86002157
CSA,10,Barcelona,Garraf I,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,50,73.05107629,2.259570659,68.48778077,77.61437182
CSA,10,Barcelona,Garraf I,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845,60,75.94097165,3.255341294,69.36667653,82.51526677
CSA,11,Barcelona,Garraf II,9,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086,20,71.1681859,1.072828948,69.00156389,73.33480792
CSA,11,Barcelona,Garraf II,9,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086,30,73.51638114,1.014900549,71.4667479,75.56601438
