species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CSA,7,115,III,25,17,
CSA,7,120,I,25,18,
CSA,7,120,II,25,14,
CSA,7,120,III,20,11,
CSA,8,30,I,25,10,
CSA,8,30,II,25,6,
CSA,8,30,III,25,6,
CSA,8,35,I,25,12,
CSA,8,35,II,25,7,
CSA,8,35,III,25,8,
CSA,8,40,I,25,2,
CSA,8,40,II,25,5,
CSA,8,40,III,25,4,
CSA,8,45,I,25,3,
CSA,8,45,II,25,3,
CSA,8,45,III,25,4,
CSA,8,50,I,25,7,
CSA,8,50,II,25,7,
CSA,8,50,III,25,3,
CSA,8,55,I,25,7,
CSA,8,55,II,25,4,
CSA,8,55,III,25,6,
CSA,8,60,I,25,9,
CSA,8,60,II,25,10,
CSA,8,60,III,25,4,
CSA,8,65,I,25,7,
CSA,8,65,II,25,3,
CSA,8,65,III,25,7,
CSA,8,70,I,25,11,
CSA,8,70,II,25,9,
CSA,8,70,III,25,9,
CSA,8,75,I,25,16,
CSA,8,75,II,25,14,
CSA,8,75,III,25,19,
CSA,8,80,I,25,23,
CSA,8,80,II,25,22,
CSA,8,80,III,25,19,
CSA,8,85,I,25,18,
CSA,8,85,II,25,14,
CSA,8,85,III,25,18,
CSA,8,90,I,25,17,
CSA,8,90,II,25,17,
CSA,8,90,III,25,23,
CSA,8,95,I,25,21,
CSA,8,95,II,25,15,
CSA,8,95,III,25,18,5
CSA,8,100,I,25,21,
CSA,8,100,II,25,22,
CSA,8,100,III,25,23,
CSA,8,105,I,25,16,
CSA,8,105,II,25,19,
CSA,8,105,III,25,17,
CSA,8,110,I,25,17,
CSA,8,110,II,25,15,
CSA,8,110,III,25,20,
CSA,8,115,I,25,12,
CSA,8,115,II,25,11,
CSA,8,115,III,25,9,
CSA,8,120,I,25,11,
CSA,8,120,II,25,10,
CSA,8,120,III,25,8,
CSA,9,30,I,25,3,
CSA,9,30,II,25,3,
CSA,9,30,III,25,1,
CSA,9,35,I,25,2,
CSA,9,35,II,25,2,
CSA,9,35,III,25,1,
CSA,9,40,I,25,4,
CSA,9,40,II,25,1,
CSA,9,40,III,25,8,
CSA,9,45,I,25,3,
CSA,9,45,II,25,7,
CSA,9,45,III,25,2,
CSA,9,50,I,25,3,
CSA,9,50,II,25,4,
CSA,9,50,III,25,4,
CSA,9,55,I,25,2,
CSA,9,55,II,25,3,
CSA,9,55,III,25,5,
CSA,9,60,I,25,3,
CSA,9,60,II,25,3,
CSA,9,60,III,25,5,
CSA,9,65,I,25,6,
CSA,9,65,II,25,7,
CSA,9,65,III,25,5,
CSA,9,70,I,25,10,
CSA,9,70,II,25,5,
CSA,9,70,III,25,13,
CSA,9,75,I,25,14,
CSA,9,75,II,25,13,
CSA,9,75,III,25,15,
CSA,9,80,I,25,7,
CSA,9,80,II,25,16,
CSA,9,80,III,25,12,
CSA,9,85,I,25,16,
CSA,9,85,II,25,14,
CSA,9,85,III,25,17,
CSA,9,90,I,25,20,
CSA,9,90,II,25,17,
CSA,9,90,III,25,15,
CSA,9,95,I,25,16,
CSA,9,95,II,25,16,
CSA,9,95,III,25,19,
CSA,9,100,I,25,19,
CSA,9,100,II,25,20,
CSA,9,100,III,24,20,
CSA,9,105,I,25,15,
CSA,9,105,II,25,14,
CSA,9,105,III,25,18,
CSA,9,110,I,25,18,
CSA,9,110,II,25,14,
CSA,9,110,III,25,15,
CSA,9,115,I,25,12,
CSA,9,115,II,25,12,
CSA,9,115,III,25,8,
CSA,9,120,I,25,12,
CSA,9,120,II,25,6,
CSA,9,120,III,24,11,
CSA,10,30,I,25,4,
CSA,10,30,II,25,3,
CSA,10,30,III,25,6,
CSA,10,35,I,25,7,
CSA,10,35,II,25,6,
CSA,10,35,III,25,4,
CSA,10,40,I,25,3,
CSA,10,40,II,25,5,
CSA,10,40,III,25,10,
CSA,10,45,I,25,3,
CSA,10,45,II,25,5,
CSA,10,45,III,25,5,
CSA,10,50,I,25,7,
CSA,10,50,II,25,4,
CSA,10,50,III,25,3,
CSA,10,55,I,25,7,
CSA,10,55,II,25,9,
